callsign,inband_qso_count,d4c_total_qso_count,cn3a_reached
EA5L,1,1,false
EA5M,3,6,true
EA5W,1,1,false
EA6EJ,2,2,true
EA6NB,5,5,false
EA7/G4BJM,2,6,true
EA7A,1,1,true
EA7CJN,1,4,true
EA7GZQ,1,5,false
EA7R,3,3,false
EA7TG,2,3,false
EA8AQM,1,2,false
EA8BQM,2,3,true
EA8BYM,1,1,false
EA8RM,7,7,true
EA8TZ,1,1,true
EA9/OH2BR,1,1,false
EB5F,1,1,false
EB7KA,3,4,true
EC1R,1,1,false
EC5K,1,1,true
EC7K,1,1,false
ED1B,3,6,true
ED1K,2,3,true
ED1R,1,2,true
ED3A,1,3,true
ED3Z,3,4,true
ED5K,1,1,true
ED5N,1,4,true
ED5O,2,4,true
ED7W,3,6,true
ED8M,4,6,true
EE3O,1,1,true
EF1A,5,6,true
EF6B,3,4,true
EF6T,5,7,true
EF8BBM,1,2,true
EI0W,1,3,true
EI1E,4,6,true
EI5KO,1,1,true
EI6FR,1,1,true
EI7M,1,2,true
EI9E,2,5,true
ER/UT1ZZ,1,2,true
ER1A,1,1,false
ER1KAA,1,5,true
ES1BH,2,2,true
ES2MC,3,3,true
ES2RR,1,1,true
ES7A,5,7,true
EU1DC,3,4,true
EU2F,3,5,true
EU4E,1,2,true
EU8N,1,3,true
EV1R,1,1,true
EW1P,1,1,true
EW2A,1,2,true
EW3LN,1,2,true
EW4A,1,3,true
EW5A,1,6,true
EW8AX,1,1,true
EW8DX,2,2,true
EX2M,1,1,true
EY7BJ,2,4,true
F5DM,1,1,true
F5IN,3,4,true
F5MMX,1,4,true
F5NIB,1,1,true
F5OGL,1,1,true
F5OZC,3,4,true
F5PCV,1,1,true
F5ROX,1,1,true
F5SDD,1,1,true
F5SGI,1,2,true
F5SIH,3,3,true
F5VBU,3,3,true
F5VHY,3,3,true
F6ARC,1,1,true
F6BLK,1,2,false
F6CRP,1,1,true
F6GPT,2,2,true
F6HKA,3,3,false
F6IRA,1,3,true
F6KGL,1,1,false
F8AAN,1,1,false
F8DFP,2,3,true
F8DGY,6,6,true
F8KLY,2,5,true
FG/OK6RA,1,1,true
FR8UA,1,1,true
FS/K0CD,1,1,false
FW5N,4,4,true
FY5FY,1,1,true
FY5KE,1,1,true
G0MTN,3,6,true
G2O,1,1,true
G2X,2,4,true
G3PJT,1,1,true
G3T,1,2,true
G3V,1,3,true
G3VMW,1,1,true
G4AMT,2,2,true
G4C,1,2,true
G4DDL,1,2,true
G5U,2,5,true
G5V,1,1,true
G6XX,3,4,true
G8D,1,1,false
GI5I,3,3,true
GI8V,1,1,false
GJ2A,1,1,true
GM0AZC,1,1,true
GM0GAV,3,3,true
GM3A,1,1,true
GM3WIJ,1,1,false
GM4X,2,2,true
GM7A,4,6,true
GS7V,2,2,true
GW4J,1,1,true
GW5P,1,1,false
H44WA,1,1,false
HA0NAR,1,1,true
HA1XY,1,1,true
HA2KMR,1,1,true
HA2VH,3,4,true
HA3DX,1,6,true
HA3FTA,1,2,true
HA3HO,1,1,true
HA3JB,1,1,true
HA3OU,1,2,true
HA4A,1,1,true
HA5GF,1,1,true
HA5PP,1,1,true
HA5PT,1,1,true
HA5UX,1,2,true
HA6P,4,5,true
HA7A,1,1,true
HA7MF,2,5,true
HA8A,2,2,true
HA8IB,1,1,true
HA8RM,1,1,false
HA9RT,6,6,true
HB0A,3,3,true
HB9AFI,2,2,false
HB9AGA,1,1,true
HB9ARF,2,4,true
HB9AWS,1,5,true
HB9BRJ,1,1,true
HB9BXE,1,4,true
HB9CA,4,4,true
HB9CDH,1,3,true
HB9DCM,4,5,true
HB9EBC,1,1,true
HB9EP,4,6,true
HB9HBY,1,1,true
HB9HDC,1,2,true
HB9IJC,1,1,true
HB9KOG,1,1,true
HB9TOC,1,2,true
HC2GRC,1,3,true
HF1J,2,4,true
HG23TISZA,6,6,true
HG3N,1,1,true
HG5A,1,1,true
HG5C,3,5,true
HG5D,2,3,true
HG5E,1,2,true
HG6N,1,5,true
HG6O,3,3,true
HG7T,2,3,true
HG8CK,2,2,true
HG8X,2,2,true
HI3A,5,5,true
HI3K,1,5,true
HK3TU,1,1,true
HK6J,3,3,true
HL2BQG,2,2,true
HL2WA,2,4,true
HO2T,5,6,true
HQ9X,4,7,true
HS5NMF,1,2,true
HZ7C,1,1,true
I1NVU,1,4,true
I1RJP,5,6,true
I2SVA,1,2,true
I3FIY,3,4,true
I5JGO,1,1,false
I5MPN,1,1,true
IB3N,5,6,true
IB8A,1,1,true
IB9A,3,3,true
IB9T,1,1,true
II1P,3,4,true
II3O,1,1,true
II8M,4,5,true
IK0IXI,1,1,true
IK0YUT,5,5,true
IK0YVV,4,4,true
IK1JJM,2,3,true
IK1LBL,1,1,true
IK1PMR,1,1,true
IK1TTD,1,3,true
IK2SAI,1,1,true
IK2SAR,1,1,true
IK2SND,1,1,false
IK2ULV,1,1,true
IK3UNA,2,3,true
IK4LZH,1,1,false
IK5MEP,4,4,true
IK5ZWU,2,3,false
IK7MIY,2,2,true
IK7XJA,1,1,true
IO0A,2,2,true
IO3A,1,1,false
IO4A,3,4,true
IO4M,1,1,false
IO4T,3,3,false
IO5A,1,1,false
IO5X,1,1,true
IO6A,1,3,true
IO9A,1,1,false
IO9J,1,1,true
IQ0AAI,1,1,false
IQ3A,1,1,false
IQ3ME,2,5,true
IR0A,1,1,true
IR1G,2,2,true
IR2C,1,3,true
IR2Q,4,6,true
IR4M,2,2,true
IR6D,1,1,true
IS0AFM,1,1,false
IT9KCD,1,2,true
IT9KXK,2,3,true
IU0HMB,4,6,true
IV3UHL,2,3,true
IV3YNB,1,4,true
IX1HPN,1,1,true
IY3A,3,6,true
IZ2MGN,1,1,false
IZ3DVU,3,4,true
IZ3JPM,2,3,true
IZ4BOY,1,1,true
IZ4EFN,1,1,true
IZ4GOL,2,3,false
IZ5BBS,1,1,true
IZ5EKU,1,1,false
IZ5EKV,1,1,false
IZ5FDE,2,2,true
IZ5NFD,4,6,true
IZ7XUQ,2,4,true
IZ8FFZ,1,2,false
IZ8GUQ,1,1,true
J42L,4,4,true
JA1IAZ,1,3,true
JA1ZGO,1,2,true
JA3YBK,1,2,true
JA5DQH,1,1,true
JA6SHL,1,1,false
JA6TSE,1,1,false
JA6WFM,1,1,false
JA6ZPR,1,1,false
JA7FTR,1,1,true
JA7NVF,1,3,true
JA9CWJ,1,1,true
JE1LFX,1,2,true
JE6RPM,4,4,true
JE7ETY,1,1,false
JF1NHD,1,2,true
JF2KOZ,1,1,true
JF7PHE,1,2,true
JH1GEX,1,1,true
JH1QDB,1,1,true
JH4UTP,3,4,true
JH4UYB,4,5,true
JH6WDG,1,1,true
JH7CUO,1,2,true
JH8XVT,1,2,true
JI0VWL,1,1,false
JJ2JQF,2,2,true
JJ2YRM,1,1,true
JL1CNY,1,2,true
JL3JRY,1,1,false
JN2AMD,2,2,true
JR2GRX,1,1,true
JR2KHB,1,1,true
JR2PMT,1,1,false
JR3EOI,1,1,true
JR6YTX,1,2,true
JR7XOD,2,2,false
JS3CTQ,1,1,true
JS6TSE,1,1,true
JT1BV,1,3,true
JW7QIA,1,1,false
K0DEQ,1,1,false
K0DME,1,1,true
K0EA,2,3,true
K0EJ,3,5,true
K0EU,1,3,true
K0PC,1,4,true
K0RF,5,7,true
K0SN,2,2,true
K0XF,1,1,true
K0ZR,3,4,true
K1BX,3,4,true
K1DG,3,3,true
K1ESE,1,2,true
K1GQ,1,1,false
K1GU,2,2,true
K1IB,1,1,true
K1IR,1,4,true
K1KI,1,1,true
K1KP,2,4,true
K1LZ,3,8,true
K1RX,3,6,true
K1SX,1,1,true
K1TT,1,1,false
K1TTT,1,5,true
K1TZQ,1,3,true
K1ZK,1,6,true
K1ZZ,3,7,true
K2CJ,1,3,true
K2LE,1,2,true
K2LNS,2,3,true
K2NV,2,2,true
K2PI,1,2,false
K2SX,1,1,true
K2VV,2,2,false
K2YY,1,1,false
K3AJ,3,5,true
K3CCR,1,5,true
K3CY,2,4,true
K3KU,1,1,true
K3LF,1,1,false
K3MD,3,3,true
K3MM,1,2,true
K3OO,1,1,true
K3PA,1,1,true
K3SV,2,3,true
K3TC,1,2,true
K3TM,1,2,true
K3TS,1,1,true
K3UL,3,3,true
K3WJV,1,2,true
K3WU,1,1,true
K3WW,1,2,true
K3ZA,1,1,true
K3ZM,3,4,true
K4OAQ,1,1,true
K4OV,1,1,true
K4PV,4,4,true
K4RUM,3,3,true
