callsign,inband_qso_count,d4c_total_qso_count,cn3a_reached
SM6TOL,4,4,true
SM6X,3,4,true
SN0RUN,1,2,true
SN1T,4,4,true
SN3F,1,1,true
SN5N,3,3,true
SN5X,1,1,true
SN6A,3,3,true
SN7Q,1,3,true
SO3F,1,1,false
SO3M,1,1,false
SO3O,2,3,true
SO4M,1,1,true
SO4P,1,3,true
SP1AEN,1,3,true
SP1C,1,1,true
SP1NY,1,2,true
SP2FAP,2,3,true
SP2QG,1,1,true
SP3CW,1,2,true
SP3HRN,3,5,true
SP3SLU,2,2,true
SP4W,1,3,true
SP5ES,1,1,true
SP5LST,1,1,true
SP5UD,1,1,true
SP6TGC,1,1,true
SP7AS,1,1,true
SP7IWA,1,2,true
SP8BRT,1,1,true
SP8HWM,2,2,true
SP8IOV,1,1,true
SP9BCH,1,1,false
SP9ENV,2,4,true
SP9KDA,3,4,true
SP9XCN,1,2,true
SQ1PSA,2,2,true
SQ2A,1,1,true
SQ3JPV,1,2,true
SQ5J,2,2,false
SQ7U,1,1,true
SQ9DEO,1,1,true
SQ9MEE,1,1,true
SQ9TX,1,4,true
SV1ME,1,2,true
SV2HUD,2,2,false
SV8OVJ,2,4,true
SV8SXF,2,3,true
SV8TCK,1,1,true
SV9MBH,1,1,true
SX1T,2,2,true
SX9V,1,6,true
T77C,1,1,true
TA2DA,1,1,true
TA3D,1,2,true
TA4A,1,1,false
TA7I,1,2,false
TC3AKSA,3,3,true
TF/OU2I,3,3,true
TF3EO,1,1,true
TF3SG,3,5,true
TF3W,1,6,true
TI2OY,2,3,true
TI5JON,2,2,false
TI7W,6,6,true
TK4W,4,8,true
TM1A,2,7,true
TM2Y,1,6,true
TM5T,1,1,false
TM7A,3,3,true
TM7G,1,1,false
TM9C,3,5,true
TO0T,2,2,true
TO1A,1,1,true
TO7A,5,6,true
TO9W,1,1,false
UA1APX,1,1,true
UA1CUR,1,2,true
UA1F,1,4,true
UA1OMS,1,2,true
UA2FZ,5,5,true
UA4CC,1,2,true
UA4M,1,3,true
UA4W,1,5,true
UA4WW,1,1,true
UA5C,3,3,true
UA5D,1,1,true
UA6LUQ,1,2,true
UA9LDD,1,1,false
UA9XO,2,3,true
UB2F,3,4,true
UB7K,5,6,true
UC1A,1,1,true
UC4N,4,4,false
UC8Y,1,1,false
UF5U,1,1,false
UI3A,1,4,true
UI5A,1,2,false
UI7D,1,2,true
UN4L,1,1,true
UN4Q,3,3,true
UN5G,1,1,true
UN7TX,1,2,true
UN9GD,1,1,true
UP2L,1,1,true
UP5B,1,3,true
UP7L,1,4,true
UR3HC,1,1,false
UR4UWY,2,4,true
UR5WX,1,1,true
UR5XMM,1,1,true
UR7HCX,1,3,true
UR7HZ,1,2,true
UR7R,1,1,false
UR7U,1,1,true
UR8RF,2,2,false
US5WE,1,1,true
US7IM,2,5,true
UT0RM,1,5,true
UT0RS,2,3,true
UT1WW,1,1,true
UT3QZ,1,1,true
UT3SO,1,2,true
UT5ECZ,1,1,false
UT5UT,1,1,true
UT6UH,2,3,true
UT7EZ,1,1,true
UV1IX,2,2,true
UW0K,1,2,true
UW1M,1,2,true
UW1WA,1,1,true
UW1WU,1,4,true
UW5Y,2,2,true
UW7RWA,2,4,true
UW7X,1,4,true
UX0KR,1,2,true
UX1BZ,1,1,true
UX1VX,1,1,false
UY2UZ,1,3,true
UY5LW,1,1,true
UY5QJ,2,3,true
UY7C,2,4,true
UZ5DM,2,2,true
V26K,6,6,true
V31CQ,2,4,true
V47T,6,6,true
V51YJ,1,1,true
V85NPV,2,2,true
VA1MM,2,2,true
VA2CZ,2,2,true
VA2EBI,1,1,true
VA2UR,2,3,true
VA2WA,1,2,true
VA3AR,4,4,true
VA3DF,1,1,true
VA3FF,2,3,true
VA3FH,1,3,true
VA3IK,2,3,false
VA3OKG,1,2,true
VA3SB,3,3,false
VA3TNM,1,1,true
VA6RCN,1,2,false
VA7DX,1,1,true
VA7DZ,1,3,true
VA7KO,1,1,true
VA7OO,2,2,false
VA7ST,3,3,true
VA7XU,2,3,true
VC7M,3,5,true
VE1ANU,1,3,true
VE1ZA,4,4,true
VE2EZD,1,1,true
VE2FK,5,5,true
VE2IR,3,3,true
VE3BXG,2,3,true
VE3CT,3,4,true
VE3EJ,2,2,true
VE3KOT,2,3,true
VE3KP,1,1,true
VE3MIS,5,5,true
VE3NNT,3,4,true
VE3NZ,1,1,true
VE3OMV,1,1,true
VE3RIA,1,2,true
VE3VN,2,4,true
VE3YAA,2,2,true
VE3YT,1,3,true
VE4EA,1,1,true
VE4VN,1,1,false
VE5GC,1,1,false
VE5MX,3,5,true
VE5UF,1,1,true
VE5ZX,1,1,true
VE6AO,1,1,true
VE6BBP,2,2,true
VE6SV,1,1,true
VE7NZ,2,2,false
VE7SAR,2,3,true
VE7SZ,3,5,true
VE7WO,3,3,true
VE9AA,2,2,true
VE9HF,1,1,true
VE9KK,4,4,true
VE9ML,1,2,true
VK1A,1,3,true
VK3EGN,1,1,false
VK3IO,1,1,true
VK6T,1,1,true
VK9XY,4,5,true
VL2A,1,1,true
VL2B,1,1,true
VL2G,2,2,true
VL4A,1,5,true
VO1BQ,1,1,false
VO1HP,1,3,true
VO2AC,4,6,true
VP5M,3,5,true
VR2KW,1,1,true
VR2T,1,2,false
VR2XAN,1,1,true
VU2CDP,3,3,true
VU2MUD,1,1,true
VU2YYF,1,1,true
VU3GDS,1,1,true
VY1CO,2,2,true
VY2TT,6,6,true
W0ABE,1,2,true
W0CP,1,1,false
W0EWD,2,2,true
W0IZ,1,3,true
W0JX,1,1,false
W0NY,3,3,true
W0PR,1,2,true
W0RLY,1,1,false
W0ZF,1,2,true
W1CSM,1,3,true
W1DX,1,1,true
W1ES,1,1,false
W1FJ,1,1,true
W1GD,1,1,true
W1JQ,2,2,true
W1KM,4,4,true
W1UJ,1,2,true
W2AA,3,8,true
W2LC,1,2,true
W2VJN,1,1,true
W2XL,1,3,true
W3FV,3,3,true
W3LPL,1,4,true
W3UL,1,1,true
W4CB,3,4,true
W4DAN,3,3,true
W4GO,2,2,true
W4LT,1,1,true
W4NF,2,4,true
W4PM,1,1,true
W4RM,2,3,true
W4RN,2,2,true
W5/OE5OHO,1,1,true
W6AYC,1,3,true
W6RGG,1,1,true
W6TK,1,4,true
W7EE,1,1,false
W7FN,1,2,false
W7QDM,1,1,true
W7VJ,1,4,true
W7WA,1,1,true
W7WSV,1,1,true
W8AV,1,1,true
W8DN,1,2,true
W8FJ,1,3,true
W8LVN,1,3,true
W9MR,1,2,true
W9PDS,1,2,true
W9RE,2,3,true
W9VW,2,6,true
WA0MHJ,1,3,true
WA1S,1,4,true
WA2OAX,1,1,true
WA3AAN,2,2,true
WA7NB,2,3,true
WB0RLJ,1,1,false
WB4IT,2,2,true
WB8JUI,1,3,true
WB9Z/4,1,1,false
WC1M,5,6,true
WD4AWD,1,1,false
WG3J,1,3,true
WH2JA,1,1,false
WH6R,1,2,true
WH7T,1,1,true
WJ9B,1,5,true
WK1O,2,2,true
WK2G,3,3,true
WO5T,2,3,true
WP4WW,1,1,true
WQ5L,3,4,true
WQ6X,2,2,true
WR2G,1,1,true
WS4C,1,1,true
WS9M,1,2,true
WT1L,1,1,true
WT3K,1,1,true
WW2P,2,3,true
WW4LL,2,2,true
WW4XX,1,1,true
WX0B,3,5,true
WX3B,2,2,true
WY3A,1,1,true
WZ0W,1,1,false
XE1AY,1,1,false
XE1CT,1,1,true
XE1RE,2,2,true
XE2AD,4,5,true
XE2I,2,2,true
XE2S,1,3,true
XE2T,1,1,true
XE2X,1,1,true
XL3A,3,4,true
XR6EW,3,3,true
XW4DX,2,3,true
YC2VOC,2,2,true
YD1FRU,1,2,true
YL2BJ,1,1,true
YL2FT,1,1,false
YL2GD,1,2,true
YL2KO,2,5,true
YL2PJ,2,4,true
YL2SM,2,6,true
YL2VW,3,5,true
YL3JD,1,1,false
YL4U,1,3,true
YL5T,1,1,true
YL5W,1,1,true
YL7X,1,1,true
YO2ARM,1,2,true
YO2CEQ,1,2,true
YO2DFA,1,1,true
YO2MNZ,1,2,true
YO2NWW,1,1,true
YO3IJ,1,2,true
YO3LW,1,1,true
YO4FZX,1,1,false
YO4NA,2,3,true
YO4NF,1,2,true
YO4RDW,1,3,true
YO6FGZ,1,1,true
YO7CW,2,3,true
YO7SR,4,4,true
YO8DHA,2,2,true
YO9HP,1,6,true
YR0K,4,5,true
YR9F,2,2,true
YT0W,1,2,false
YT1FZ,2,3,true
YT1X,1,1,true
YT2EWW,1,1,false
YT3D,5,6,true
YT3EWW,1,5,true
YT4D,1,1,false
YT4W,1,1,true
YT5RA,3,3,true
YT6T,2,3,true
YT7A,1,1,true
YT7B,1,1,true
YT7W,3,4,true
YT7X,1,3,true
YT9W,1,1,true
YU0T,1,1,false
YU1ANO,1,2,true
YU1KT,1,1,true
YU1ML,1,1,true
YU1Q,1,5,true
YU1RA,1,2,true
YU5M,1,1,true
YU5R,2,2,true
YV4YC,1,1,false
YV5KG,2,2,false
Z33B,2,2,true
Z35M,2,2,true
Z35T,1,1,true
Z36W,1,6,true
Z61DX,3,3,true
Z68BB,2,4,true
ZA1F,1,3,true
ZA1RR,2,6,true
ZD7BG,3,3,true
ZF1A,6,6,true
ZF5T,4,5,true
ZL1IF,3,4,true
ZL7IO,2,4,true
ZP0X,1,1,true
ZP9MCE,1,1,true
ZS1C,1,3,true
ZS4TX,3,4,true
ZY2A,2,3,true
