country,callsign,qso_count
"Asiatic Russia","R0AA",1
"Asiatic Russia","R0AEE",1
"Asiatic Russia","R8CT",3
"Asiatic Russia","R9AE",1
"Asiatic Russia","R9AM",3
"Asiatic Russia","R9CAC",1
"Asiatic Russia","R9CB",1
"Asiatic Russia","R9CM",2
"Asiatic Russia","R9MJ",3
"Asiatic Russia","R9MU",1
"Asiatic Russia","R9QQ",1
"Asiatic Russia","R9RA",1
"Asiatic Russia","R9RT",1
"Asiatic Russia","R9UA",3
"Asiatic Russia","R9UP",1
"Asiatic Russia","RA9AAA",2
"Asiatic Russia","RA9AP",2
"Asiatic Russia","RA9AU",1
"Asiatic Russia","RA9CCK",1
"Asiatic Russia","RA9DAD",1
"Asiatic Russia","RA9DZ",1
"Asiatic Russia","RA9JBA",1
"Asiatic Russia","RA9MX",2
"Asiatic Russia","RA9UGU",1
"Asiatic Russia","RA9Y",1
"Asiatic Russia","RC9A",2
"Asiatic Russia","RC9J",4
"Asiatic Russia","RC9O",3
"Asiatic Russia","RC9W",1
"Asiatic Russia","RD0A",1
"Asiatic Russia","RD0W",1
"Asiatic Russia","RD9U",3
"Asiatic Russia","RG8U",1
"Asiatic Russia","RG9A",1
"Asiatic Russia","RK0W",2
"Asiatic Russia","RK8I",1
"Asiatic Russia","RK8T",4
"Asiatic Russia","RK9AWQ",1
"Asiatic Russia","RK9AX",3
"Asiatic Russia","RK9AY",1
"Asiatic Russia","RK9DM",1
"Asiatic Russia","RK9QWM",1
"Asiatic Russia","RK9UE",2
"Asiatic Russia","RL9AA",2
"Asiatic Russia","RL9I",2
"Asiatic Russia","RM0A",1
"Asiatic Russia","RM9RZ",1
"Asiatic Russia","RN0A",1
"Asiatic Russia","RN0CT",1
"Asiatic Russia","RN0SRR",1
"Asiatic Russia","RN9N",3
"Asiatic Russia","RN9O/8",1
"Asiatic Russia","RT0F",2
"Asiatic Russia","RT0Q",1
"Asiatic Russia","RT0R",1
"Asiatic Russia","RT9S",2
"Asiatic Russia","RT9YA",1
"Asiatic Russia","RU0LAX",1
"Asiatic Russia","RU9AZ",1
"Asiatic Russia","RU9CC",2
"Asiatic Russia","RV9CQ",1
"Asiatic Russia","RV9MA",1
"Asiatic Russia","RW0LL",1
"Asiatic Russia","RW9AB",1
"Asiatic Russia","RW9AS",1
"Asiatic Russia","RW9MC",1
"Asiatic Russia","RW9TP",1
"Asiatic Russia","RW9UX",1
"Asiatic Russia","RW9WT",2
"Asiatic Russia","RX0AKI",1
"Asiatic Russia","RX9AF",1
"Asiatic Russia","RX9CCJ",1
"Asiatic Russia","RX9SR",1
"Asiatic Russia","RZ0AI",1
"Asiatic Russia","RZ9OF",1
"Asiatic Russia","RZ9U",1
"Asiatic Russia","RZ9UO",1
"Asiatic Russia","UA0AD",1
"Asiatic Russia","UA0IDZ",2
"Asiatic Russia","UA0MF",1
"Asiatic Russia","UA0SE",1
"Asiatic Russia","UA0SF",1
"Asiatic Russia","UA0SR",2
"Asiatic Russia","UA0UK",2
"Asiatic Russia","UA0W",1
"Asiatic Russia","UA0WY",1
"Asiatic Russia","UA8U",1
"Asiatic Russia","UA9AGX",2
"Asiatic Russia","UA9CBO",1
"Asiatic Russia","UA9CTT",2
"Asiatic Russia","UA9CUA",1
"Asiatic Russia","UA9CVQ",1
"Asiatic Russia","UA9LAO",1
"Asiatic Russia","UA9MA",4
"Asiatic Russia","UA9MUY",2
"Asiatic Russia","UA9NP",1
"Asiatic Russia","UA9OR",1
"Asiatic Russia","UA9R",2
"Asiatic Russia","UA9SMU",1
"Asiatic Russia","UA9UDX",1
"Asiatic Russia","UA9UR",1
"Asiatic Russia","UA9YE",3
"Asiatic Russia","UC0A",1
"Asiatic Russia","UC8I",3
"Asiatic Russia","UC8U",3
"Asiatic Russia","UI9I",2
"European Russia","R1CC",1
"European Russia","R1UA",1
"European Russia","R2AD",2
"European Russia","R2AGG",1
"European Russia","R2DEU",1
"European Russia","R2DW",2
"European Russia","R2EA",2
"European Russia","R2ZA",1
"European Russia","R35MWC",3
"European Russia","R3AA",1
"European Russia","R3AB",1
"European Russia","R3AQ",1
"European Russia","R3BM",1
"European Russia","R3BT",2
"European Russia","R3GMT",3
"European Russia","R3HD",1
"European Russia","R3LA",1
"European Russia","R3MA",1
"European Russia","R3MS",1
"European Russia","R3OM",1
"European Russia","R3WR",1
"European Russia","R45DX",1
"European Russia","R4EA",1
"European Russia","R4FA",1
"European Russia","R4FAN",2
"European Russia","R4FD",2
"European Russia","R4IB",1
"European Russia","R4IN",1
"European Russia","R4IO",1
"European Russia","R4PAO",1
"European Russia","R4RM",1
"European Russia","R4RZ",1
"European Russia","R4WAB",1
"European Russia","R4WDX",2
"European Russia","R5DF",1
"European Russia","R5DX",1
"European Russia","R6AC",1
"European Russia","R6AW",1
"European Russia","R6FAA",5
"European Russia","R6FK",2
"European Russia","R6GK",1
"European Russia","R7AB",1
"European Russia","R7FF",3
"European Russia","R7FL",4
"European Russia","R7GA",2
"European Russia","R7HF",1
"European Russia","R7KMA",2
"European Russia","R7LV",1
"European Russia","R7MM",3
"European Russia","R7NA",1
"European Russia","R7NP",3
"European Russia","R7RM",1
"European Russia","R7TO",1
"European Russia","RA1ANY",3
"European Russia","RA1CW",1
"European Russia","RA1TV",2
"European Russia","RA3BQ",1
"European Russia","RA3DAD",2
"European Russia","RA3DJA/QRP",1
"European Russia","RA3EA",1
"European Russia","RA3GAS",1
"European Russia","RA3GJT",1
"European Russia","RA3LDP",1
"European Russia","RA3NC",3
"European Russia","RA3QSY",2
"European Russia","RA3RA",1
"European Russia","RA3RBL",1
"European Russia","RA3RGD",1
"European Russia","RA3RLJ",2
"European Russia","RA3SI",1
"European Russia","RA3THN",1
"European Russia","RA3WDK",1
"European Russia","RA3XDX",1
"European Russia","RA3Y",4
"European Russia","RA3YDA",1
"European Russia","RA4ACX",2
"European Russia","RA4DR",2
"European Russia","RA4FUT",1
"European Russia","RA4HMT",1
"European Russia","RA4JBL",1
"European Russia","RA4LO",1
"European Russia","RA4M",1
"European Russia","RA4UAT",1
"European Russia","RA4W",2
"European Russia","RA5A",1
"European Russia","RA5B",1
"European Russia","RA5D",5
"European Russia","RA6AR",2
"European Russia","RA6ME",2
"European Russia","RA6MQ",1
"European Russia","RA7T",3
"European Russia","RA9FEL",1
"European Russia","RA9XSL",1
"European Russia","RC3D",1
"European Russia","RC3F",1
"European Russia","RC3U",1
"European Russia","RC4HT",1
"European Russia","RC4R",1
"European Russia","RC5F",1
"European Russia","RC6U",2
"European Russia","RC6V",1
"European Russia","RC7KY",1
"European Russia","RD1AH",2
"European Russia","RD4F",4
"European Russia","RD4HD",1
"European Russia","RG5A",4
"European Russia","RG6G",1
"European Russia","RG7K",1
"European Russia","RI3DKK",1
"European Russia","RJ4P",1
"European Russia","RK2M",1
"European Russia","RK3DYB",1
"European Russia","RK3QY",1
"European Russia","RK4W",1
